underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
CU,2010-04-02,CU1007,110954.28189710804,111644.31809452268,111679.70456618497,110405.79158634256,0,290558.0,110618.1104163163,110954.28189710804,110370.40511468027,231436.0,113679.04021510431,107044.07677842508,62710.0
CU,2010-04-06,CU1007,111644.31809452268,112122.03546196359,112741.29871605364,111431.99926454894,0,338164.0,111644.31809452268,112139.72869779474,110954.28189710804,233006.0,114280.61023336323,107610.2603250217,63100.0
CU,2010-04-07,CU1007,112104.34222613244,111662.01133035382,112263.58134861274,111201.98719874407,0,278666.0,112122.03546196359,111715.09103784726,112139.72869779474,232458.0,115501.44350571222,108760.32065404611,63360.0
CU,2010-04-08,CU1007,110954.28189710804,109857.30127557708,111060.4413120949,109839.60803974593,0,265748.0,111662.01133035382,110370.40511468027,111715.09103784726,220542.0,115059.1126099336,108353.37622992978,62710.0
CU,2010-04-09,CU1007,110724.26983130316,111343.53308539322,111449.69250038009,110635.80365214744,0,249682.0,109857.30127557708,111095.8277837572,110370.40511468027,227822.0,113679.04021510431,107044.07677842508,62580.0
CU,2010-04-12,CU1007,111732.78427367841,111343.53308539322,112865.15136687167,111078.13454792605,0,309684.0,111343.53308539322,111927.409867821,111095.8277837572,226690.0,114422.15612001238,107751.80621167086,63150.0
CU,2010-04-13,CU1007,110441.17805800485,110547.33747299171,111078.13454792605,110051.92686971967,0,295058.0,111343.53308539322,110529.64423716057,111927.409867821,218048.0,115271.43143990733,108565.69505990352,62420.0
CU,2010-04-14,CU1007,111520.46544370467,110724.26983130316,111909.71663198985,110653.49688797857,0,247050.0,110547.33747299171,111290.45337789979,110529.64423716057,213714.0,113838.27933758461,107203.31590090538,63030.0
CU,2010-04-15,CU1007,111219.6804345752,110741.9630671343,111644.31809452268,110618.1104163163,0,280958.0,110724.26983130316,111095.8277837572,111290.45337789979,212736.0,114616.78171415497,107946.43180581345,62860.0
CU,2010-04-16,CU1007,110936.5886612769,110317.32540718683,111113.52101958834,110051.92686971967,0,234972.0,110741.9630671343,110441.17805800485,111095.8277837572,218436.0,114422.15612001238,107751.80621167086,62700.0
CU,2010-04-19,CU1007,108194.13710744948,106283.26763768586,108371.06946576093,106194.80145853013,0,332828.0,110317.32540718683,107150.23619341194,110441.17805800485,204838.0,113749.8131584289,106194.80145853013,61150.0
CU,2010-04-20,CU1007,107291.7820800611,107574.87385335942,107663.34003251513,106955.61059926935,0,252638.0,106283.26763768586,107291.7820800611,107150.23619341194,198814.0,110352.71187884912,103930.06727214361,60640.0
