underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
AL,2010-03-11,AL1006,14305.854724896575,14242.666320634666,14314.279845464831,14208.965838361646,0,78846.0,14377.46824972674,14255.304001487048,14369.043129158486,110576.0,14798.724278139478,13935.149419893367,16980.0
AL,2010-03-12,AL1006,14289.004483760065,14251.09144120292,14293.217044044193,14183.690476656882,0,52680.0,14242.666320634666,14234.24120006641,14255.304001487048,111042.0,14680.772590183911,13825.622852506054,16960.0
AL,2010-03-15,AL1006,14280.579363191811,14044.675987280678,14289.004483760065,14019.400625575914,0,82646.0,14251.09144120292,14091.01415040608,14234.24120006641,114042.0,14659.709788763275,13804.560051085418,16950.0
AL,2010-03-16,AL1006,14002.550384439404,14065.738788701316,14086.801590121951,13914.08661847273,0,70996.0,14044.675987280678,14019.400625575914,14091.01415040608,110434.0,14512.270178818817,13665.545561709214,16620.0
AL,2010-03-17,AL1006,14128.927192963225,14171.052795804499,14200.54071779339,14048.888547564806,0,71450.0,14065.738788701316,14133.139753247353,14019.400625575914,110576.0,14436.444093704524,13598.144597163177,16770.0
AL,2010-03-18,AL1006,14196.328157509264,14048.888547564806,14225.816079498156,14002.550384439404,0,82628.0,14171.052795804499,14128.927192963225,14133.139753247353,114318.0,14554.39578166009,13707.671164550487,16850.0
AL,2010-03-19,AL1006,14069.951348985442,14196.328157509264,14280.579363191811,14036.250866712424,0,141928.0,14048.888547564806,14175.265356088627,14128.927192963225,121086.0,14550.183221375963,13703.45860426636,16700.0
AL,2010-03-22,AL1006,14086.801590121951,14057.31366813306,14166.840235520373,14053.101107848934,0,69272.0,14196.328157509264,14103.651831258461,14175.265356088627,114578.0,14596.521384501364,13749.796767391761,16720.0
AL,2010-03-23,AL1006,14103.651831258461,13994.12526387115,14137.35231353148,13943.574540461621,0,78872.0,14057.31366813306,14032.038306428296,14103.651831258461,121740.0,14524.907859671199,13678.183242561596,16740.0
AL,2010-03-24,AL1006,13994.12526387115,13922.511739040983,14103.651831258461,13871.961015631456,0,108532.0,13994.12526387115,13977.27502273464,14032.038306428296,123770.0,14449.081774556906,13610.782278015558,16610.0
AL,2010-03-25,AL1006,13859.323334779074,13800.34749080129,13922.511739040983,13749.796767391761,0,125426.0,13922.511739040983,13821.410292221926,13977.27502273464,131332.0,14394.31849086325,13556.018994321903,16450.0
AL,2010-03-26,AL1006,13834.04797307431,13951.999661029875,13981.487583018767,13779.284689380653,0,113812.0,13800.34749080129,13897.23637733622,13821.410292221926,124822.0,14234.24120006641,13404.366824093317,16420.0
AL,2010-03-29,AL1006,13985.700143302895,14006.762944723532,14027.825746144168,13960.42478159813,0,57960.0,13951.999661029875,13998.337824155276,13897.23637733622,121894.0,14310.067285180703,13480.19290920761,16600.0
AL,2010-03-30,AL1006,14069.951348985442,14036.250866712424,14078.376469553697,13985.700143302895,0,51436.0,14006.762944723532,14027.825746144168,13998.337824155276,113658.0,14415.381292283888,13577.081795742539,16700.0
AL,2010-03-31,AL1006,14061.526228417188,13964.637341882259,14061.526228417188,13905.661497904475,0,32018.0,14036.250866712424,13977.27502273464,14027.825746144168,113966.0,14444.86921427278,13606.56971773143,16690.0
AL,2010-04-01,AL1006,14023.613185860042,14027.825746144168,14112.076951826715,13985.700143302895,0,47394.0,13964.637341882259,14053.101107848934,13977.27502273464,107396.0,14394.31849086325,13556.018994321903,16645.0
AL,2010-04-02,AL1006,14069.951348985442,14078.376469553697,14112.076951826715,14027.825746144168,0,20552.0,14027.825746144168,14065.738788701316,14053.101107848934,105076.0,14474.357136261671,13627.632519152068,16700.0
AL,2010-04-06,AL1006,14095.226710690207,14166.840235520373,14213.178398645774,14091.01415040608,0,30028.0,14078.376469553697,14154.20255466799,14065.738788701316,101572.0,14486.994817114053,13640.27020000445,16730.0
AL,2010-04-07,AL1006,14166.840235520373,14141.564873815607,14196.328157509264,14082.589029837824,0,16004.0,14166.840235520373,14137.35231353148,14154.20255466799,96674.0,14575.458583080728,13728.733965971125,16815.0
AL,2010-04-08,AL1006,14103.651831258461,14010.975505007658,14103.651831258461,13985.700143302895,0,12144.0,14141.564873815607,14032.038306428296,14137.35231353148,93070.0,14558.608341944218,13711.883724834615,16740.0
AL,2010-04-09,AL1006,14053.101107848934,14061.526228417188,14082.589029837824,14023.613185860042,0,7984.0,14010.975505007658,14053.101107848934,14032.038306428296,91016.0,14449.081774556906,13610.782278015558,16680.0
AL,2010-04-12,AL1007,14169.852060102772,14236.514110370825,14290.677026213616,14149.020169394005,0,154246.0,14061.526228417188,14224.014975945563,14049.027093991928,136546.0,14469.831286309005,13624.056523533098,17005.0
AL,2010-04-13,AL1007,14182.351194528032,14203.183085236798,14324.008051347642,14136.521034968746,0,287364.0,14236.514110370825,14240.680488512577,14224.014975945563,152698.0,14648.985546404394,13794.878027344981,17020.0
AL,2010-04-14,AL1007,14324.008051347642,14265.678757363097,14340.673563914655,14257.34600107959,0,128282.0,14203.183085236798,14290.677026213616,14240.680488512577,153000.0,14665.651058971407,13811.543539911994,17190.0
