order_book_id,underlying_symbol,market_tplus,symbol,margin_rate,maturity_date,type,trading_code,exchange,product,contract_multiplier,round_lot,trading_hours,listed_date,industry_name,de_listed_date,underlying_order_book_id,start_delivery_date,end_delivery_date
AG888,AG,0.0,ag主力连续价差平滑,0.13,0000-00-00,Future,AG2506,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,贵金属,0000-00-00,,0000-00-00,0000-00-00
AG889,AG,0.0,ag主力连续价差平滑（后复权）,0.13,0000-00-00,Future,AG2506,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,贵金属,0000-00-00,,0000-00-00,0000-00-00
AG88A2,AG,0.0,ag次主力连续,0.13,0000-00-00,Future,AG2508,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,贵金属,0000-00-00,,0000-00-00,0000-00-00
AG99,AG,0.0,ag指数连续,0.13,0000-00-00,Future,ag2205,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,贵金属,0000-00-00,,0000-00-00,0000-00-00
AL1501,AL,0.0,铝1501,0.05,2015-01-15,Future,al1501,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-01-16,有色,2015-01-15,null,2015-01-16,2015-01-22
AL1502,AL,0.0,铝1502,0.05,2015-02-10,Future,al1502,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-02-18,有色,2015-02-10,null,2015-02-11,2015-02-17
AL1503,AL,0.0,铝1503,0.05,2015-03-16,Future,al1503,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-03-18,有色,2015-03-16,null,2015-03-17,2015-03-23
AL1504,AL,0.0,铝1504,0.05,2015-04-15,Future,al1504,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-04-16,有色,2015-04-15,null,2015-04-16,2015-04-22
AL1505,AL,0.0,铝1505,0.05,2015-05-15,Future,al1505,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-05-16,有色,2015-05-15,null,2015-05-18,2015-05-22
AL1506,AL,0.0,铝1506,0.05,2015-06-15,Future,al1506,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-06-17,有色,2015-06-15,null,2015-06-16,2015-06-23
AL1507,AL,0.0,铝1507,0.05,2015-07-15,Future,al1507,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-07-16,有色,2015-07-15,null,2015-07-16,2015-07-22
AL1508,AL,0.0,铝1508,0.05,2015-08-17,Future,al1508,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-08-18,有色,2015-08-17,null,2015-08-18,2015-08-24
AL1509,AL,0.0,铝1509,0.05,2015-09-15,Future,al1509,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-09-16,有色,2015-09-15,null,2015-09-16,2015-09-22
AL1510,AL,0.0,铝1510,0.05,2015-10-15,Future,al1510,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-10-16,有色,2015-10-15,null,2015-10-16,2015-10-22
