date,Tr
2013-10-29,48.67877944224347
2013-10-30,31.697809869367575
2013-10-31,29.43368059298473
2013-11-01,23.77335740202625
2013-11-04,74.71626612065211
2013-11-05,27.169551316600973
2013-11-06,30.56574523117615
2013-11-07,58.86736118596855
2013-11-08,46.41465016585971
2013-11-11,38.49019769851793
2013-11-12,27.169551316600973
2013-11-13,16.980969572875438
2013-11-14,36.01770155364284
2013-11-15,22.51106347102632
2013-11-18,40.51991424784728
2013-11-19,22.51106347102632
2013-11-20,29.264382512334123
2013-11-21,25.887722991680675
2013-11-22,24.762169818129223
2013-11-25,28.138829338783125
2013-11-26,28.138829338783125
2013-11-27,30.389935685885575
2013-11-28,24.76216981812877
2013-11-29,19.134403950372416
2013-12-02,21.385510297474866
2013-12-03,21.38551029747532
2013-12-04,45.02212694205309
