date,FCT_Cr_1
2020-12-07,0.05150447275684468
2020-12-08,-0.003609177623098786
2020-12-09,-0.039844760672703816
2020-12-10,0.0037725680409593622
2020-12-11,0.024966442953019963
2020-12-14,0.020429544264012788
2020-12-15,-0.0012833675564682071
2020-12-16,-0.007967103572346465
2020-12-17,-0.005440414507771976
2020-12-18,0.030983733539891558
2020-12-21,0.017280240420736327
2020-12-22,-0.027572624322993476
2020-12-23,-0.012405063291139376
2020-12-24,0.015380671622660796
2020-12-25,-0.0002524614996212793
2020-12-28,-0.022979797979797982
2020-12-29,-0.03592659601964325
2020-12-30,0.010187667560321693
2020-12-31,0.0021231422505307938
2021-01-04,0.0315148305084746
2021-01-05,0.012836970474967896
2021-01-06,0.0007604562737641727
2021-01-07,0.0012664640324214545
2021-01-08,-0.002782696686061142
