date,FCT_Dbcd
2015-10-23,-0.0009722791884624356
2015-10-26,-0.0037375080712096277
2015-10-27,-0.0055221302331518755
2015-10-28,-0.006174967904323743
2015-10-29,-0.006092481732936278
2015-10-30,-0.005896431194325276
2015-11-02,-0.006024906360392615
2015-11-03,-0.006954451463222539
2015-11-04,-0.00831667713069811
2015-11-05,-0.01013162710803151
2015-11-06,-0.011682740585904128
2015-11-09,-0.012264143104978895
2015-11-10,-0.011524950329657183
2015-11-11,-0.010175799541766114
2015-11-12,-0.00815057346240925
2015-11-13,-0.005765224819089995
2015-11-16,-0.0033347889088168646
2015-11-17,-0.0009759942000924207
2015-11-18,0.0009542910173865337
2015-11-19,0.0022915157212261483
2015-11-20,0.002660545129614793
2015-11-23,0.0019104703236250218
2015-11-24,0.0009097792964735535
2015-11-25,0.0006247582005943724
2015-11-26,0.0009612935313608932
2015-11-27,0.0018928106103636446
2015-11-30,0.0032183558510639003
2015-12-01,0.00412075799106435
2015-12-02,0.004085676962735915
2015-12-03,0.0033338128989539592
2015-12-04,0.002272325906920782
2015-12-07,0.0011703402836326282
2015-12-08,-0.0001917121994464346
2015-12-09,-0.0015578454550118912
2015-12-10,-0.0026846255474217958
2015-12-11,-0.0031430466731547347
2015-12-14,-0.002633846190042196
2015-12-15,-0.0006749644213094229
2015-12-16,0.002155220428136429
2015-12-17,0.004705876362230575
2015-12-18,0.0062068603960668475
2015-12-21,0.006828729944708627
2015-12-22,0.006355793333562292
2015-12-23,0.005466982960397658
2015-12-24,0.004888591611558324
2015-12-25,0.0050296415480449285
2015-12-28,0.005369528657552291
2015-12-29,0.006011469603517644
2015-12-30,0.00700512851158807
2015-12-31,0.008372932810656398
2016-01-04,0.00972594730535816
2016-01-05,0.010785171675736411
2016-01-06,0.011065419349180592
2016-01-07,0.010170409883849735
2016-01-08,0.008188705995529313
2016-01-11,0.005865140350024779
2016-01-12,0.003945323071535589
2016-01-13,0.002513734216023084
2016-01-14,0.0017081263860488818
2016-01-15,0.001273671593025224
2016-01-18,0.0010327949628391323
2016-01-19,0.0007738835442284995
2016-01-20,0.0006118962350807227
2016-01-21,0.0003788391524872349
2016-01-22,0.00012163820371634444
2016-01-25,-0.000766285917800164
2016-01-26,-0.001985436058634796
2016-01-27,-0.0032433979913059547
2016-01-28,-0.004423279186424826
2016-01-29,-0.005142629043066305
2016-02-01,-0.005353731695735384
2016-02-02,-0.005257239084327033
2016-02-03,-0.00485939618428427
2016-02-04,-0.0038548561157518138
2016-02-05,-0.002517248067081304
2016-02-15,-0.0007170989742793855
2016-02-16,0.0011706790625936833
2016-02-17,0.0024890198939816663
2016-02-18,0.0029532949757660513
2016-02-19,0.0028198701561530444
2016-02-22,0.002523441011775808
2016-02-23,0.00239680321631
2016-02-24,0.0026412275279285593
2016-02-25,0.002889316972897377
2016-02-26,0.002938152094596044
2016-02-29,0.0026445856943659567
2016-03-01,0.0022342892657966334
2016-03-02,0.0020380865748573142
2016-03-03,0.0018392511107439857
2016-03-04,0.0016603916336974424
2016-03-07,0.0015015399607973979
