date,FCT_Demark_Atr_Dfive
2015-12-17,0.49122807017546855
2015-12-18,0.7704918032787027
2015-12-21,0.6666666666666221
2015-12-22,0.6190476190475871
2015-12-23,0.3508771929823835
2015-12-24,0.7261904761904425
2015-12-25,0.392523364485937
2015-12-28,0.3534482758620428
2015-12-29,0.44696969696964556
2015-12-30,0.5839999999999524
2015-12-31,0.3333333333332545
2016-01-04,0.7380952380951771
2016-01-05,0.8266666666666386
2016-01-06,0.8522727272727116
2016-01-07,0.9127516778523368
2016-01-08,0.9927536231884304
2016-01-11,0.8045112781955207
2016-01-12,0.8251748251748394
2016-01-13,0.5209580838323667
2016-01-14,0.11214953271037405
2016-01-15,0.10091743119268606
2016-01-18,0.4552238805969819
2016-01-19,0.3597122302157677
2016-01-20,0.6851851851851238
2016-01-21,0.5362318840579451
