date,FCT_Cr_Ref_1
2010-09-08,0.005158437730287339
2010-09-09,-0.0036656891495600915
2010-09-10,-0.01324503311258294
2010-09-13,0.002734277902063326
2010-09-14,-0.000991571641051082
2010-09-15,-0.0052109181141439765
2010-09-16,0.007233724120728449
2010-09-17,-0.0029717682020802857
2010-09-20,0.002732240437158428
2010-09-21,0.02700024770869464
2010-09-27,-0.008683068017366053
2010-09-28,0.01630170316301687
2010-09-29,0.0011970313622216818
2010-09-30,-0.014825442372070743
2010-10-08,0.0009708737864077828
2010-10-11,-0.007759456838021352
2010-10-12,0.04496578690127082
2010-10-13,-0.004443405051450053
2010-10-14,0.005167958656330888
2010-10-15,0.0002336994624911044
2010-10-18,0.005140186915887988
2010-10-19,-0.014411901441190214
2010-10-20,0.0037735849056604385
2010-10-21,-0.0030545112781955107
